,date_as_date,second_dose_in_0to19,second_dose_in_20to29,second_dose_in_30to39,second_dose_in_40to49,second_dose_in_50to59,second_dose_in_60to69,second_dose_in_70to79,second_dose_in_80to89,second_dose_in_90plus
54,2021-02-12,1156,3842,7798,15127,5884,2102,938,473,101
55,2021-02-13,4046,2367,4642,11650,5378,1304,621,278,72
56,2021-02-14,9899,9995,11292,21901,8964,3668,2002,953,213
57,2021-02-15,12368,13180,12489,20486,9521,4018,2118,1038,283
58,2021-02-16,14363,15869,13715,18990,8467,3509,1942,962,238
59,2021-02-17,14980,15850,12837,18282,7952,3000,1596,709,160
60,2021-02-18,14062,15659,18772,17726,7949,3059,1498,640,146
61,2021-02-19,6169,6216,10358,9325,3692,1331,593,260,54
62,2021-02-20,4452,4044,8138,7711,2883,862,394,145,21
63,2021-02-21,10050,14396,22706,17578,7629,3246,1731,825,212
64,2021-02-22,9511,18467,23516,15148,7641,3218,1758,876,245
65,2021-02-23,9105,16244,19608,13039,6589,2870,1682,882,227
66,2021-02-24,7777,15872,17194,10915,5866,2691,1569,816,195
67,2021-02-25,5604,18315,20690,10268,5351,2300,1235,649,161
68,2021-02-26,2719,8676,10534,5323,2727,1075,530,242,67
69,2021-02-27,1960,6523,6898,3162,1606,559,268,123,34
70,2021-02-28,4934,16605,17086,8617,4523,2077,1135,592,170
71,2021-03-01,4920,20633,18933,8170,4528,2176,1157,615,143
72,2021-03-02,4851,22034,19050,9017,5113,2423,1195,647,222
73,2021-03-03,5079,22763,19297,9148,5537,2653,1300,615,183
74,2021-03-04,6133,26477,22770,11528,6695,3085,1401,634,141
75,2021-03-05,3006,13598,11736,6176,3400,1461,620,266,64
76,2021-03-06,2099,8313,6992,3951,2464,933,347,153,29
77,2021-03-07,6522,23055,19757,11073,6544,3331,1599,681,132
78,2021-03-08,6373,22530,19512,11434,7065,3558,1648,771,208
79,2021-03-09,7462,24078,19868,11789,7089,3566,1712,761,165
80,2021-03-10,5987,19568,14948,9009,5098,2370,1023,420,94
81,2021-03-11,6896,21652,18379,11247,6327,2873,1064,400,62
82,2021-03-12,4054,13135,11299,6803,3830,1509,474,182,20
83,2021-03-13,2997,8194,6101,4104,2353,927,336,147,26
84,2021-03-14,7357,22238,19710,11742,6778,3500,1685,694,142
85,2021-03-15,8035,23716,20397,12040,7087,3802,1962,833,200
86,2021-03-16,7967,22200,18152,10680,6383,3391,1697,759,141
87,2021-03-17,6289,17867,14883,8968,5523,2897,1567,698,155
88,2021-03-18,5999,17171,15017,9351,5549,2833,1285,641,131
89,2021-03-19,2684,8370,7521,4535,2697,1213,534,283,40
90,2021-03-20,2066,4896,3375,2450,1429,604,297,103,0
91,2021-03-21,4538,11766,10312,6239,3714,2114,1034,556,101
92,2021-03-22,4591,11997,10241,6206,3650,1979,1045,551,125
93,2021-03-23,823,2190,1753,1178,644,290,172,89,18
94,2021-03-24,5291,14374,11358,6899,4066,2326,1247,662,140
95,2021-03-25,4308,10924,8609,5408,3170,1572,764,412,96
96,2021-03-26,1529,4171,3273,2127,1159,535,250,140,31
97,2021-03-27,542,1496,871,646,386,164,65,27,0
98,2021-03-28,678,1495,930,709,427,187,90,28,0
99,2021-03-29,3637,8798,7002,4693,2840,1542,817,433,107
100,2021-03-30,2825,6665,5086,3338,2114,1155,607,369,81
101,2021-03-31,2311,5645,4689,2968,1770,993,534,279,74
102,2021-04-01,2359,5723,4417,2749,1644,873,414,234,63
103,2021-04-02,902,2538,2072,1287,640,315,122,79,0
104,2021-04-03,385,1073,594,433,222,103,53,16,0
105,2021-04-04,2985,7114,5428,3465,1844,1015,501,310,69
106,2021-04-05,3114,6793,4807,2949,1753,896,466,248,77
107,2021-04-06,2188,5129,3925,2472,1390,795,400,191,71
108,2021-04-07,2108,4663,3450,2309,1283,659,352,213,56
109,2021-04-08,2087,5101,4200,2549,1434,797,371,203,47
110,2021-04-09,756,1830,1628,940,498,230,96,67,0
111,2021-04-10,490,1195,737,519,294,112,56,27,0
112,2021-04-11,2008,4440,3266,1980,1173,661,334,175,64
113,2021-04-12,1740,4227,3020,1802,1043,623,352,159,63
114,2021-04-13,561,1427,1229,683,408,238,130,76,30
115,2021-04-14,582,1467,1206,794,490,280,151,111,34
116,2021-04-15,50,118,86,68,50,21,18,0,0
117,2021-04-16,778,2019,1646,1008,487,291,130,82,24
118,2021-04-17,268,684,444,270,145,73,22,0,0
119,2021-04-18,975,2412,1707,994,569,371,207,90,26
120,2021-04-19,893,2211,1574,913,595,385,204,141,55
121,2021-04-20,818,1947,1600,948,558,409,206,145,61
122,2021-04-21,870,2087,1534,1007,608,369,215,163,54
123,2021-04-22,944,2195,1684,1064,699,407,253,163,61
124,2021-04-23,450,964,794,482,317,133,48,35,0
125,2021-04-24,177,469,253,175,93,30,0,0,0
126,2021-04-25,892,2139,1580,944,546,378,202,110,36
127,2021-04-26,1161,2416,1629,1064,652,355,249,152,49
128,2021-04-27,841,1772,1463,920,582,393,234,157,59
129,2021-04-28,1042,2163,1521,913,610,400,220,155,79
130,2021-04-29,926,2053,1635,995,628,389,243,152,69
131,2021-04-30,392,852,804,433,256,122,71,64,0
132,2021-05-01,110,309,197,110,45,33,0,0,0
133,2021-05-02,927,1827,1386,780,414,324,173,94,31
134,2021-05-03,787,1589,1345,785,443,329,194,112,49
135,2021-05-04,605,1252,1038,667,378,238,170,129,55
136,2021-05-05,543,1092,903,518,349,183,137,106,36
137,2021-05-06,479,910,622,383,240,147,78,53,0
138,2021-05-07,302,691,535,349,204,109,41,39,0
139,2021-05-08,46,174,95,51,32,0,0,0,0
140,2021-05-09,687,1401,1035,569,360,290,154,86,46
141,2021-05-10,694,1294,1012,598,368,253,157,102,51
142,2021-05-11,479,1072,846,529,333,177,125,67,17
143,2021-05-12,499,817,702,449,261,180,94,70,29
144,2021-05-13,652,907,749,493,278,191,128,74,0
145,2021-05-14,226,333,335,199,123,59,35,20,0
146,2021-05-15,0,50,29,23,42,0,0,0,0
147,2021-05-16,167,363,267,150,90,53,27,17,0
148,2021-05-17,74,232,136,107,112,69,23,0,0
149,2021-05-18,639,1224,1152,668,452,320,214,95,40
150,2021-05-19,681,1445,1066,643,454,328,140,90,30
151,2021-05-20,547,1003,855,516,346,211,133,81,27
152,2021-05-21,210,319,318,171,95,68,26,22,0
153,2021-05-22,34,109,90,55,27,0,0,0,0
154,2021-05-23,502,881,759,421,257,148,102,46,0
155,2021-05-24,493,878,920,507,302,174,110,63,16
156,2021-05-25,349,612,535,353,234,171,96,68,24
157,2021-05-26,354,606,594,327,190,130,88,51,0
158,2021-05-27,570,880,609,356,222,144,89,63,23
159,2021-05-28,148,248,336,218,158,85,36,0,0
160,2021-05-29,25,64,33,20,0,0,0,0,0
161,2021-05-30,282,474,439,273,157,102,78,35,0
162,2021-05-31,308,513,495,271,184,117,60,18,0
163,2021-06-01,279,453,402,220,139,96,51,38,0
164,2021-06-02,233,411,331,189,124,79,45,26,0
165,2021-06-03,211,338,296,174,118,87,35,30,0
166,2021-06-04,77,116,149,92,63,28,18,0,0
167,2021-06-05,0,19,19,0,0,0,0,0,0
168,2021-06-06,201,228,188,93,71,45,30,0,0
169,2021-06-07,84,181,151,95,67,36,28,23,0
170,2021-06-08,161,260,241,147,105,67,28,0,0
171,2021-06-09,206,324,247,131,89,69,48,28,0
172,2021-06-10,210,306,255,146,92,60,36,18,0
173,2021-06-11,74,110,103,65,33,0,0,0,0
174,2021-06-12,16,33,18,0,0,0,0,0,0
175,2021-06-13,221,311,276,147,113,53,35,0,0
176,2021-06-14,272,354,298,191,128,93,25,18,0
177,2021-06-15,191,305,310,148,97,72,47,23,0
178,2021-06-16,151,173,179,131,62,53,46,29,15
179,2021-06-17,175,258,253,139,91,50,37,0,0
180,2021-06-18,45,78,103,55,36,17,0,0,0
181,2021-06-19,0,23,15,18,0,0,0,0,0
182,2021-06-20,182,267,296,197,137,78,42,18,0
183,2021-06-21,246,257,242,125,71,61,53,0,0
184,2021-06-22,143,228,225,155,96,47,31,0,0
185,2021-06-23,191,319,223,151,106,66,39,21,0
186,2021-06-24,403,290,231,153,101,69,44,16,0
187,2021-06-25,430,73,106,83,45,22,0,0,0
188,2021-06-26,26,29,29,15,0,0,0,0,0
189,2021-06-27,2326,287,264,175,137,65,51,18,0
190,2021-06-28,2541,310,247,160,104,70,46,23,0
191,2021-06-29,2575,237,278,176,126,79,50,23,0
192,2021-06-30,2287,250,228,163,133,77,41,25,0
193,2021-07-01,2218,299,238,162,125,103,45,20,0
194,2021-07-02,1016,106,100,76,65,28,17,0,0
195,2021-07-03,103,54,27,28,0,0,0,0,0
196,2021-07-04,2107,247,241,185,119,100,57,23,0
197,2021-07-05,1869,282,242,199,130,92,44,15,0
198,2021-07-06,2049,363,321,223,126,82,50,19,0
199,2021-07-07,1609,237,253,153,106,91,45,25,0
200,2021-07-08,1668,273,264,206,129,78,41,21,0
201,2021-07-09,846,101,128,102,55,52,18,20,0
202,2021-07-10,117,62,44,47,23,0,0,0,0
203,2021-07-11,1969,238,222,152,69,67,24,21,0
204,2021-07-12,2683,296,221,135,92,54,27,0,0
205,2021-07-13,4309,373,236,156,107,53,29,16,0
206,2021-07-14,6490,248,254,141,87,65,39,24,0
207,2021-07-15,8115,304,246,184,105,60,61,23,0
208,2021-07-16,5290,103,117,118,62,26,16,0,0
209,2021-07-17,1194,35,25,20,17,0,0,0,0
210,2021-07-18,8772,256,253,160,116,62,35,20,0
211,2021-07-19,10102,340,278,175,113,74,38,25,0
212,2021-07-20,10618,314,296,181,113,86,54,52,24
213,2021-07-21,10579,256,290,187,135,100,71,44,0
214,2021-07-22,11805,277,361,268,172,91,52,35,0
215,2021-07-23,7457,141,195,95,83,36,22,0,0
216,2021-07-24,1200,84,39,42,0,0,0,0,0
217,2021-07-25,13872,425,416,251,175,113,79,39,0
218,2021-07-26,11820,501,371,243,170,113,75,34,0
219,2021-07-27,11566,609,472,281,189,137,83,32,15
220,2021-07-28,10604,395,429,256,197,122,86,49,31
221,2021-07-29,12002,523,548,359,185,160,103,56,27
222,2021-07-30,9490,303,339,231,145,88,37,24,0
223,2021-07-31,2974,155,135,88,50,41,16,0,0
224,2021-08-01,2736,156,105,70,50,67,49,28,0
225,2021-08-02,2166,243,157,98,93,124,84,43,15
226,2021-08-03,2083,318,207,110,88,171,118,42,21
227,2021-08-04,1999,247,213,140,73,185,137,60,19
228,2021-08-05,2191,274,237,146,105,224,158,76,23
229,2021-08-06,1107,111,110,69,61,134,68,31,0
230,2021-08-07,311,75,36,28,27,66,37,15,0
231,2021-08-08,1740,263,232,142,120,257,159,72,0
232,2021-08-09,1581,326,220,163,99,269,159,74,0
233,2021-08-10,1517,328,251,164,152,286,220,106,21
234,2021-08-11,1449,294,261,171,140,242,158,68,0
235,2021-08-12,1699,348,261,183,168,255,157,78,18
236,2021-08-13,1039,193,177,119,164,147,72,26,0
237,2021-08-14,284,94,53,56,169,58,35,0,0
238,2021-08-15,2431,415,342,239,466,269,166,84,19
239,2021-08-16,2461,411,337,276,597,296,153,51,15
240,2021-08-17,2713,506,393,296,519,289,166,90,20
241,2021-08-18,2423,440,381,302,464,264,142,53,0
242,2021-08-19,2772,512,394,374,503,301,162,67,19
243,2021-08-20,1377,253,229,296,333,109,58,16,0
244,2021-08-21,717,153,114,218,163,82,30,0,0
245,2021-08-22,2679,365,330,562,394,220,130,56,15
246,2021-08-23,2255,356,323,534,388,226,136,58,0
247,2021-08-24,2350,443,354,548,416,241,127,67,0
